,promotion,Values,,,,
,no,,yes,,Grand Total,
clothing type,sales,revenue,sales,revenue,sales,revenue
jackets,134416,"$12,573,916.27",123214,"$13,770,797.60",257630,"$26,344,713.87"
jeans,8611,"$573,798.90",4709,"$290,586.35",13320,"$864,385.25"
shoes,28560,"$1,610,254.23",29346,"$2,144,583.40",57906,"$3,754,837.63"
sweaters,38461,"$2,274,241.58",36781,"$1,816,389.90",75242,"$4,090,631.48"
t-shirts,30264,"$1,961,878.60",23373,"$1,734,927.65",53637,"$3,696,806.25"
Grand Total,240312,"$18,994,089.58",217423,"$19,757,284.90",457735,"$38,751,374.48"
